"Table S1 List of all DE genes in all pairwise age comparisons, as well as in the main LRT. In the pairwise tests, only genes that were also significant in the LRT were kept. In all tests, q-values represent FDR-corrected p-values.",,,,,,,,,
,,,,,,,,,
,,LRT,,20d vs. 5d,,30d vs. 5d,,40d vs. 5d,
Gene,Mean,p-value,q-value,log2 FC,q-value,log2 FC,q-value,log2 FC,q-value
ico,396.3557927,1.94E-05,0.000270819,-0.416688736,0.04456682,-0.568172161,0.00154206,-0.627859231,0.000406375
Galphao,9103.978456,1.97E-05,0.000273411,-0.431464892,0.107040784,-0.849927925,7.64E-05,-0.208855691,0.474981734
CG43373,807.5174418,1.98E-05,0.000275008,-0.45960219,0.318947437,-0.355231822,0.409074378,0.722049742,0.049193123
Pkc53E,2764.541484,1.99E-05,0.00027601,-0.360825542,0.287646607,-0.708089546,0.006691801,0.246211149,0.464136582
nSyb,14121.08715,2.00E-05,0.000277411,-0.458667016,0.087519256,-0.891430385,4.40E-05,-0.44128011,0.075061598
Ranbp21,898.1852803,2.01E-05,0.000277826,0.060919187,0.83878583,0.489835097,0.002288302,0.470351715,0.003721098
CG11883,1126.227829,2.02E-05,0.000278598,-0.712595584,0.008728913,-0.837096964,0.000753506,-0.178254545,0.612588138
CG14521,793.4996651,2.02E-05,0.000279365,-0.619231996,0.016670789,-0.885839919,9.88E-05,-0.449709122,0.082402132
nrv2,25442.44343,2.04E-05,0.000280764,-0.216609021,0.587360652,-0.627317081,0.018748416,-0.933366242,0.000153309
onecut,5203.213073,2.04E-05,0.000281532,-0.198364977,0.599956196,-0.398991934,0.142611032,0.492669552,0.060914625
CG14669,863.9417206,2.06E-05,0.00028344,-0.69998395,0.036500276,-0.88688404,0.002599664,0.043254594,0.93391367
Ca-alpha1T,6266.95868,2.07E-05,0.000283887,-0.294370357,0.458291739,-0.312970089,0.354832264,0.602845252,0.039223702
CG4267,367.7723817,2.10E-05,0.000288332,1.334794575,0.031475389,2.21436224,2.45E-05,1.198111657,0.041583992
SmG,295.0055064,2.10E-05,0.000288332,0.627648173,0.01045714,0.050457971,0.897741802,-0.226344727,0.458576562
CG9394,5689.634319,2.11E-05,0.000288766,-0.708732593,0.041275654,-0.657585436,0.040381773,-1.167099208,4.88E-05
CG1271,355.529995,2.15E-05,0.000294036,0.147988621,0.726173911,0.809831802,0.001009508,-0.011387248,0.980048156
CG32815,1466.009597,2.17E-05,0.000296485,-0.530137286,0.039972456,-0.867648744,7.01E-05,-0.35251904,0.178540077
CG34384,3756.173717,2.22E-05,0.000303175,-0.5550736,0.133769572,-0.896489628,0.003189226,0.162454484,0.719886607
Dmtn,2702.529949,2.24E-05,0.000305231,0.50300808,0.001242013,0.461436369,0.002060111,0.507883496,0.000489293
CG8206,1651.991646,2.25E-05,0.000305466,0.753872748,0.006243641,0.594361083,0.027263817,-0.063809679,0.885798858
CG42458,460.8170566,2.27E-05,0.000308358,-0.729818959,0.01196435,-0.916218831,0.000448232,-0.228642082,0.51804032
Glycogenin,1385.480192,2.28E-05,0.000308647,-0.429971322,0.006655031,-0.514520001,0.000367005,-0.180863409,0.318064279
Ef1alpha100E,11700.91356,2.28E-05,0.000308865,-0.423364976,0.058210803,-0.714827925,0.000129527,-0.524236737,0.007384692
snoRNA:Psi28S-1192a,195.0717136,2.29E-05,0.000309589,-0.415266819,0.705657055,-1.273688417,0.077650972,-2.649634938,3.74E-05
sosie,515.4781619,2.32E-05,0.00031284,-0.679540781,0.12735768,-1.353268859,0.000150863,-0.995346769,0.00783837
CG13926,116.0001806,2.32E-05,0.000313482,0.577638472,0.149691916,0.133076344,0.79286698,-0.791555552,0.031568337
CG6729,430.6489014,2.33E-05,0.000313953,-0.630421157,0.008400521,0.067985365,0.848426388,-0.52960887,0.023118984
CG8596,363.9490595,2.34E-05,0.000315268,0.300399375,0.724765858,1.707689043,0.000626199,0.338368376,0.640907321
CG1402,490.0529563,2.39E-05,0.000320957,-0.669486164,0.059417456,-0.978573659,0.00129139,0.013617255,0.980048156
Cht5,465.8082433,2.40E-05,0.000322708,1.690186483,0.000468811,1.781905425,0.000104959,1.249936003,0.01044087
bic,10873.21269,2.42E-05,0.00032427,0.362559193,0.283119454,0.111966109,0.774035043,-0.629625948,0.018114093
mAChR-A,1657.772578,2.44E-05,0.000326854,-0.436551117,0.160321763,-0.634986804,0.014328622,0.246785744,0.450525932
2mit,2043.708464,2.48E-05,0.00033172,-0.835218789,0.020321318,-1.074063218,0.000801648,-0.144658179,0.773174122
tinc,1378.87374,2.50E-05,0.000333408,-0.550776978,0.11981787,-0.727676676,0.015658763,0.268664382,0.484219002
CG6796,103.7768522,2.50E-05,0.000333933,-0.584004342,0.136954552,-0.357318304,0.358971218,-1.30113341,4.65E-05
c11.1,2702.289057,2.51E-05,0.000334168,0.312442068,0.485172544,0.674887478,0.03522811,1.119655752,0.000112845
HmgZ,2845.043741,2.58E-05,0.000342822,0.132293166,0.631849419,-0.234680537,0.25340356,-0.506570186,0.003787257
CG32683,680.2543525,2.58E-05,0.000343392,-0.261557904,0.505659904,-0.141575913,0.713071639,0.650576191,0.016924044
CG12594,744.4605743,2.61E-05,0.000346242,-0.91275844,0.003533341,-0.705430049,0.021707612,0.003771285,0.993749776
Akt1,1916.119961,2.61E-05,0.000346405,0.451212764,0.009654514,0.329498374,0.05536371,0.610997233,6.31E-05
Lasp,484.3306932,2.61E-05,0.000346405,0.672267686,0.016640757,0.290661636,0.356453378,0.921165272,0.000158466
Octbeta1R,1256.473814,2.63E-05,0.000347878,-0.690910751,0.057823784,-0.891146897,0.004965922,0.126889656,0.795599138
CG1746,23178.01169,2.66E-05,0.000351083,-0.211046643,0.610939209,-0.435306092,0.139650203,-0.998184608,6.30E-05
CG8248,309.0681743,2.66E-05,0.000351083,-0.977690662,0.000301264,-0.70654282,0.008627043,-0.486890242,0.097883831
CG14683,373.2022255,2.66E-05,0.000351126,-0.451072621,0.050527582,-0.39742002,0.061559864,-0.777487582,5.61E-05
CG7991,237.9472439,2.70E-05,0.000355344,-0.957093783,0.000408378,-0.680344779,0.01148003,-0.302565791,0.354608218
hipk,7056.309803,2.70E-05,0.000355344,0.098737585,0.86180188,-0.139680914,0.757750523,0.886933454,0.003324228
l(3)neo43,150.4459475,2.71E-05,0.000355502,-0.153756212,0.699906839,-0.649672498,0.009103134,-0.838465959,0.000634033
CG34126,2972.596318,2.73E-05,0.000357594,0.283664013,0.148510456,0.491688368,0.001964307,0.573786026,0.000170146
CG9601,230.8776805,2.73E-05,0.000357594,-0.529730655,0.020313924,-0.649128611,0.001445987,-0.663753474,0.001255529
betaTub56D,7401.202255,2.74E-05,0.000358316,-0.523506852,0.01347914,-0.318062454,0.142697934,-0.711078003,0.000118923
Map60,327.9942249,2.75E-05,0.000359031,-1.066021198,0.000307519,-0.463584075,0.151836898,-0.767881148,0.009772498
cwo,1752.602052,2.75E-05,0.000359031,0.535760922,0.032567606,0.636335086,0.004444978,0.846772016,5.52E-05
mamo,5553.203884,2.75E-05,0.000359031,0.188321521,0.658707335,-0.185065644,0.612548617,0.75863462,0.004194626
CG32091,1054.460537,2.78E-05,0.000361952,0.722468548,0.053950376,0.942427102,0.003790586,1.247195484,4.53E-05
Sodh-1,1931.49692,2.81E-05,0.000365927,0.033652324,0.977061061,-0.167850182,0.852909799,-2.02005708,0.00013108
Pmm45A,1230.088958,2.82E-05,0.000367046,0.285813409,0.117544583,0.379329738,0.014194994,-0.139414526,0.487772053
tai,3560.348033,2.85E-05,0.000369481,0.119019588,0.700696331,0.060060296,0.842370907,0.625387121,0.00053754
CR18228,222.778865,2.88E-05,0.000373333,0.627119304,0.03043396,0.898139149,0.000295421,0.859779056,0.000567727
CG17029,499.6279387,2.90E-05,0.000375664,-0.772202679,0.012450665,-0.622036502,0.03672021,-1.026764624,0.000169408
RpL19,16264.50094,2.97E-05,0.000383524,0.416784912,0.175219163,0.392078364,0.160949521,-0.431266099,0.121095983
trio,6503.339397,2.97E-05,0.000383524,-0.498798601,0.029029248,-0.508918816,0.01504305,0.096858536,0.752795814
et,352.8335687,3.00E-05,0.000386881,0.624373573,0.351735094,1.570778187,0.001239465,-0.020503112,0.981714383
Ady43A,392.4075423,3.02E-05,0.000388963,-0.564195034,0.001762728,-0.558605723,0.001037031,-0.345214466,0.066792462
Scsalpha,3942.775317,3.02E-05,0.000389161,-0.234923281,0.575237105,-0.198022522,0.594134871,-1.020288663,7.85E-05
CR44998,180.5182052,3.10E-05,0.00039851,0.825523614,0.000567935,0.211801781,0.492983025,0.140243954,0.695594894
Trf2,3393.418251,3.13E-05,0.000401963,0.209475384,0.628318361,-0.071723479,0.874439472,0.839799691,0.001705391
CG3625,2332.401137,3.16E-05,0.00040377,-0.567467576,0.009654514,-0.459163009,0.03039084,-0.727031411,0.000186088
PDCD-5,306.034181,3.15E-05,0.00040377,0.308512264,0.252628992,0.407167719,0.066386451,-0.358328681,0.144209735
gish,3695.39466,3.15E-05,0.00040377,0.167679315,0.481614321,-0.183550957,0.360799935,0.417794457,0.012481623
CG12576,2488.061028,3.16E-05,0.000403991,0.38766685,0.107380781,0.669840512,0.000654555,0.686015459,0.000387612
CR45223,252.9401171,3.21E-05,0.000409141,0.409568743,0.419558968,-0.178806772,0.738808305,1.069303992,0.002606351
CG10098,871.3278237,3.25E-05,0.000413196,-0.608394509,0.001407659,-0.513893882,0.005443463,-0.530919578,0.003949253
CG5028,3953.43668,3.24E-05,0.000413196,-0.464259867,0.05227233,-0.576938567,0.005976598,-0.743874487,0.000179589
Task7,743.6022258,3.26E-05,0.000414421,-0.855199332,0.001552952,-0.760989832,0.003500681,-0.705835778,0.007662833
CG3556,2175.837812,3.28E-05,0.000416999,-0.827523738,0.016055561,-0.997214135,0.001322138,-0.138172234,0.775093414
CG18815,2599.639838,3.29E-05,0.000417788,-0.303715863,0.17655122,-0.260301049,0.212219757,-0.697314121,4.53E-05
Atox1,1062.048577,3.31E-05,0.000419382,-0.211814131,0.317961229,-0.213737979,0.250399816,-0.613084922,5.17E-05
fd59A,205.2617118,3.31E-05,0.000419382,-0.896947222,0.003647653,-0.924375881,0.001377249,-0.753579247,0.012381232
CG8298,393.3575247,3.35E-05,0.000423438,-0.804764336,0.003077498,-0.850296168,0.000807502,-0.406449145,0.171722241
Frq1,3381.187528,3.36E-05,0.000424533,-0.280868794,0.52806141,-0.937914461,0.001364365,0.149060955,0.736521813
Gfrl,2282.118364,3.37E-05,0.000425295,-0.366810727,0.406900983,-0.707573291,0.032546537,0.443144961,0.236987577
dpr3,581.6641648,3.38E-05,0.000425839,-0.902829374,0.000468038,-0.69459912,0.0066888,-0.563570331,0.036186473
CG13409,726.6081543,3.41E-05,0.00042895,-0.618468038,0.020238376,-0.775107325,0.001133738,-0.746694079,0.001677538
CG14509,2604.768466,3.41E-05,0.000429206,-0.430251294,0.242030237,-1.025186478,0.000222208,-0.093261877,0.839643206
CR44922,2011.585809,3.42E-05,0.000429416,-0.470676084,0.271944603,-1.178772054,0.000215757,-0.0887955,0.871673761
Cyp6a13,721.3503239,3.44E-05,0.000432032,0.619110612,0.052162339,1.065772308,5.81E-05,0.615336404,0.036252915
pan,10455.68989,3.45E-05,0.000432267,0.294786481,0.452597175,-0.005723444,0.98947512,0.878252443,0.001012172
CanB,1802.400846,3.49E-05,0.000436717,-0.463290203,0.039516774,-0.719602827,0.000169322,-0.503520696,0.013321561
26-29-p,3570.444791,3.52E-05,0.000439768,0.458163604,0.025695902,0.694075079,8.88E-05,0.327423861,0.11204774
lap,4742.084432,3.54E-05,0.000442373,-0.294283696,0.25500636,-0.557759071,0.005717851,0.151049716,0.581774646
Lk6,42506.34157,3.56E-05,0.000443678,0.465539325,0.000427528,0.202886555,0.169439844,0.094606485,0.601537152
CG1468,2117.116426,3.57E-05,0.000444408,0.740164464,0.246786886,0.1923111,0.802131737,-1.215616073,0.018181641
AstA-R2,19.94879206,3.61E-05,0.000448481,-4.44149392,0.001759382,0.206274341,0.892880376,-0.221274861,0.887982027
CG3011,4717.660336,3.61E-05,0.000448481,1.222336612,0.007606328,1.135627977,0.009214656,0.018370339,0.980726588
PPO1,586.0525305,3.61E-05,0.000448481,-0.92594896,0.627583698,-2.1028928,0.112291052,-5.322735023,2.16E-06
mmd,3544.354718,3.63E-05,0.000449903,-0.313903447,0.52806141,-0.473085829,0.215505999,0.658780793,0.065318909
CG12090,1249.280664,3.67E-05,0.0004539,-0.046604735,0.89652608,0.24105655,0.261724996,0.568743014,0.001433297
AGO1,7372.344321,3.72E-05,0.000460273,-0.023230191,0.957955387,-0.386567668,0.097668359,0.426190336,0.066074933
Aats-ala-m,472.4314586,3.73E-05,0.000460273,-0.233551285,0.43875909,0.185933161,0.492861243,-0.60793999,0.004933849
Irp-1B,1430.260848,3.73E-05,0.000460273,0.098886841,0.777817168,0.666413469,0.00072169,0.469277163,0.025895042
ftz-f1,1978.392132,3.73E-05,0.000460273,-0.289387163,0.266136716,-0.554415387,0.006083586,0.157013027,0.562750708
rad,1717.454291,3.74E-05,0.0004609,-0.37192676,0.407231308,-0.558359526,0.114325039,0.555944522,0.123169989
AnxB11,1559.737019,3.77E-05,0.000463688,0.621004775,0.013809014,0.58712789,0.013318646,0.874782283,6.25E-05
RpS20,12354.90638,3.78E-05,0.00046433,0.516051709,0.184539916,0.469057864,0.188040462,-0.561452511,0.106195221
7B2,6363.574112,3.80E-05,0.00046584,-0.615953293,0.007041158,-0.638030093,0.002809844,-0.670275263,0.001389828
CG9935,977.2381659,3.82E-05,0.000468093,1.263966951,0.000239301,0.738589288,0.040313808,1.058518617,0.00162076
CG4332,296.6852267,3.83E-05,0.000469111,0.164159305,0.657635324,0.802958576,0.000245925,0.403558751,0.117843809
CG9784,979.9660996,3.88E-05,0.000474442,0.502076093,0.001552952,0.514867067,0.000570778,0.40872731,0.009235341
Tsp97E,2824.190968,3.95E-05,0.000482496,-0.393939167,0.158051541,-0.841997934,0.000123775,-0.543879562,0.021217382
regucalcin,8507.608846,3.95E-05,0.000482496,0.839858292,0.015117169,1.153381255,0.000164538,0.454472233,0.222350161
CG7646,1810.855405,3.98E-05,0.000484157,-0.282641326,0.330187426,-0.8234617,7.84E-05,-0.293162709,0.257608953
Nplp1,2829.008348,3.98E-05,0.000484157,-0.59947582,0.040360302,-0.896876518,0.000334354,-0.196738839,0.575916298
CG43737,3407.585014,4.02E-05,0.000489082,-0.387199723,0.41483793,-0.678257992,0.060496812,0.524043149,0.180092073
pHCl,1689.269055,4.03E-05,0.000489898,-0.187062526,0.696341722,-0.615352629,0.04499929,0.473754059,0.152760392
dpr14,1130.685237,4.04E-05,0.000490628,-0.573661897,0.071347436,-0.820388694,0.002502787,0.044289527,0.926996505
chinmo,2362.743526,4.09E-05,0.00049575,-0.160832273,0.791869048,-0.639819549,0.090497145,0.653554968,0.087547209
rut,4055.536702,4.12E-05,0.0004992,-0.411239154,0.152207231,-0.30330928,0.273892581,0.386589285,0.145526996
CG34141,125.8037685,4.16E-05,0.000502755,0.038326783,0.961673798,0.079517119,0.903828372,1.159633294,0.001671822
CG2225,1655.70861,4.17E-05,0.00050369,-0.096927588,0.801364307,-0.168589454,0.563985389,0.552382258,0.013233113
CG8177,4419.006022,4.19E-05,0.000504554,-0.380228537,0.25710204,-0.973694371,9.81E-05,-0.24476367,0.470776811
spas,835.5176785,4.18E-05,0.000504554,-0.493100061,0.003991416,-0.536138642,0.000749086,-0.243869966,0.19708198
FucTB,103.284669,4.26E-05,0.000512305,0.285029314,0.529937527,0.854893059,0.003290997,0.956992192,0.000799518
CG4000,264.4731532,4.26E-05,0.000512375,-2.83132302,0.095607709,-4.355951414,0.002283031,-4.723935267,0.000733929
CG1090,2759.09135,4.35E-05,0.000521994,-0.73941589,0.027115649,-0.938142772,0.001578065,-0.087253214,0.860355832
robo3,1351.953425,4.35E-05,0.000521994,-0.675071644,0.026319124,-0.83366727,0.002076677,-0.058117234,0.902366269
CG15141,441.8909384,4.36E-05,0.00052272,-0.672036381,0.000361384,-0.449383669,0.017447433,-0.416314186,0.033620954
EndoA,5412.314118,4.37E-05,0.000523189,-0.415871797,0.094360661,-0.731095457,0.000331521,-0.114265346,0.714038334
CG8654,330.858477,4.43E-05,0.000529505,-0.221181834,0.861758487,1.289103615,0.078035643,-1.269476265,0.093717574
CG9360,834.0668064,4.43E-05,0.000529505,-0.367923813,0.409777282,-0.494149198,0.171590374,-1.225297511,5.38E-05
Hsp26,326.4832525,4.44E-05,0.000529505,-0.288024437,0.661642379,1.11575208,0.006044059,0.549880195,0.256495837
fend,1128.170295,4.47E-05,0.000533175,-0.579858417,0.177383917,-0.707579886,0.054321565,0.433931916,0.299690526
CR43963,38.78191442,4.48E-05,0.000533597,1.701676498,0.000537169,1.046245769,0.04426277,1.580866309,0.000920971
CG11077,349.8640331,4.51E-05,0.000535433,-0.148147808,0.750662635,-0.213061304,0.563430864,-1.017480128,0.000150705
Nhe2,3004.921569,4.50E-05,0.000535433,-0.610696782,0.026974869,-0.542208311,0.03684415,0.151089976,0.672901598
HDAC4,3496.986504,4.59E-05,0.000544317,0.175947519,0.647829126,0.186945681,0.56231534,0.81892587,0.000398281
CG14907,157.7249469,4.63E-05,0.000548881,1.686744022,0.027115649,2.147616051,0.001441601,2.667609077,2.87E-05
CG43672,43.82752084,4.68E-05,0.00055392,0.603760569,0.799500758,4.421010578,0.000442309,3.087549266,0.022255656
Tom70,606.5539055,4.77E-05,0.000563803,-0.464081979,0.00263699,-0.35223132,0.01951144,-0.466739948,0.001350299
CG31814,760.714875,4.79E-05,0.000565852,-0.76086517,0.011784516,-0.882239445,0.001364365,-0.189227594,0.627589983
CG31051,330.2359323,4.80E-05,0.000566271,-0.042932863,0.944875143,-0.667263661,0.03684415,-0.981667319,0.001126192
Treh,17589.18891,4.80E-05,0.000566271,0.617260904,0.014275364,0.778674834,0.000570778,0.776430092,0.000493663
CG11138,2617.305079,4.82E-05,0.000567646,-0.241539592,0.464532286,-0.517314278,0.029907237,0.309578898,0.256411122
rho-5,1204.47168,4.89E-05,0.000575205,-0.961967617,0.000468038,-0.584543296,0.039856158,-0.219402317,0.54661272
Kaz1-ORFB,675.7278224,4.91E-05,0.000577479,1.142176977,0.013002684,1.174833494,0.005863243,0.036654582,0.963805409
CG2269,10990.82216,4.95E-05,0.000580621,-0.534539506,0.169718617,-0.873658415,0.00594599,0.195048333,0.667135119
GABA-B-R3,935.6214917,4.96E-05,0.000582143,-0.749350516,0.003379965,-0.65062724,0.008299863,-0.119777954,0.742426053
mGluR,2277.517074,4.98E-05,0.000583017,0.076589145,0.895193793,-0.274321394,0.470591221,0.770047333,0.011177643
rempA,105.5183635,4.98E-05,0.000583078,-0.131608433,0.89652608,1.044661353,0.049885563,1.467190136,0.003325779
CG42795,3907.068132,4.99E-05,0.000583329,-0.685617379,0.055779184,-1.047444425,0.000570239,-0.147732468,0.752236311
RpS7,21616.93899,5.04E-05,0.000588014,0.399895303,0.233655863,0.400480286,0.179259376,-0.470576745,0.107400706
CG14966,89.3526277,5.06E-05,0.000589845,1.146411223,0.000187726,0.718909998,0.024879951,0.7185066,0.029768575
CG34353,1294.121459,5.06E-05,0.000589845,-0.646521721,0.087179462,-1.115564628,0.000349263,-0.169205179,0.72328841
CG31636,38.78655855,5.12E-05,0.000596239,1.011121855,0.109136158,1.278390091,0.015805731,1.926402159,6.53E-05
Inos,10988.4951,5.14E-05,0.000597039,0.533586696,0.087514533,0.847196757,0.001180829,0.061300007,0.892930461
CG33090,1203.97101,5.15E-05,0.000597911,-0.704019469,0.003195693,-0.728604789,0.001173366,-0.513483819,0.032345919
Pal2,6710.736789,5.25E-05,0.000609479,-0.43840532,0.039972456,-0.562629665,0.002604053,-0.61896902,0.000659535
CG34356,1119.795242,5.31E-05,0.000615746,-0.30989811,0.518941601,-0.665787837,0.050980255,0.490818695,0.186448777
mthl2,455.5992815,5.33E-05,0.000616804,1.480584136,0.000845681,1.34514797,0.001694308,1.484446622,0.000359423
ry,1191.546896,5.40E-05,0.000623947,0.360370802,0.092076111,0.636579836,0.000261089,0.165897693,0.486211658
CR45629,35.74498501,5.46E-05,0.000631053,-0.829366224,0.278669852,-0.237137316,0.779896133,1.17598773,0.038584561
CG30380,47.31423178,5.57E-05,0.000642797,1.54420459,0.002719266,0.761954797,0.180507504,-0.05988716,0.949487211
Pabp2,782.2301033,5.59E-05,0.000644944,0.43248209,0.076088542,0.444916616,0.042031067,0.78127402,6.88E-05
ird5,327.3537974,5.63E-05,0.000647594,0.641732536,0.003152136,0.680194286,0.000761424,0.611011498,0.003191321
mRpL33,295.2985195,5.63E-05,0.000647594,0.526232358,0.052640864,0.089233201,0.808619127,-0.377588627,0.180092073
CG9662,362.3658121,5.66E-05,0.000650268,0.356653752,0.184539916,0.081106186,0.808838999,-0.48175104,0.042141759
RpL17,11260.58107,5.68E-05,0.000651636,0.254936695,0.397143012,0.444517575,0.052798636,-0.327718855,0.193244056
Ank,6400.643627,5.72E-05,0.00065553,-0.039444329,0.896214919,-0.17626983,0.350211495,0.36594596,0.02229427
l(2)35Di,1290.8446,5.78E-05,0.000661612,-0.132011251,0.678321658,-0.373449401,0.076035468,-0.693552016,0.000231558
Cht3,37.33005864,5.78E-05,0.000661867,0.939998378,0.246841931,1.861400275,0.002106037,2.117922399,0.000299282
CG10195,110.1127239,5.91E-05,0.000675217,0.120854161,0.859081468,1.141465572,0.000937557,0.738950592,0.054123988
RpL8,13930.26395,5.98E-05,0.000683151,0.370231385,0.182885374,0.335854848,0.187375288,-0.374015923,0.14041583
CG12012,909.0142875,6.00E-05,0.00068429,0.995374417,0.004757921,1.147330347,0.00041172,1.078593281,0.000902031
Bili,1128.45757,6.04E-05,0.000688215,-0.539962784,0.065781456,-0.794676892,0.001458158,-0.03822933,0.930696082
dare,198.3734853,6.08E-05,0.000691631,-0.617706641,0.011977055,0.223607789,0.405335651,-0.097986011,0.774878194
RpL6,19350.19636,6.09E-05,0.000692662,0.542886328,0.056632075,0.371712448,0.185945681,-0.30359576,0.312724821
Shab,3319.397852,6.16E-05,0.000699824,-0.274939699,0.524245045,-0.401591515,0.230375519,0.560155782,0.073687636
drongo,4781.827267,6.17E-05,0.000699824,0.312867957,0.059359204,0.466496554,0.00093905,0.474016441,0.000637578
CG4398,221.389166,6.20E-05,0.000702305,1.052894416,0.00201612,1.079596065,0.000769656,0.528866823,0.166832928
vap,1315.489124,6.25E-05,0.000707855,0.002247467,0.994967038,0.088325478,0.719135669,0.524965359,0.001392216
VGlut,8584.648814,6.27E-05,0.000709267,-0.139019037,0.798498274,-0.531645437,0.117783249,0.586101717,0.083373485
CG15098,6844.636628,6.29E-05,0.000710677,0.69895359,0.006490483,0.867870851,0.000191656,0.619127139,0.011954893
CG13082,335.5175872,6.41E-05,0.000724079,-0.773783616,0.092557081,-0.954660264,0.016702734,-1.381503278,0.000227587
Nf1,2872.38925,6.43E-05,0.000724918,-0.46066073,0.167149709,-0.572481616,0.044381592,0.303973166,0.365317859
14-3-3epsilon,20051.19574,6.46E-05,0.000727136,0.070871824,0.777817168,-0.329616472,0.029097289,-0.354334937,0.018146671
CG14234,872.608516,6.51E-05,0.000732179,-0.743187181,0.002083511,-0.631508853,0.007007968,-0.202334713,0.50814044
CG31126,258.8617278,6.61E-05,0.000742814,-0.058161556,0.900472456,-0.34800804,0.199726894,-0.834578882,0.000392258
fz,640.7054366,6.62E-05,0.000742814,-0.471825825,0.068462495,-0.49336181,0.033119694,0.177502411,0.550428519
CG31810,43.30013021,6.63E-05,0.000743242,1.966448683,0.076088542,3.399517523,0.00015791,3.243283667,0.000290041
rad50,525.5296828,6.66E-05,0.000746164,0.452720627,0.05279023,0.370257234,0.092799762,0.751405222,9.20E-05
edl,203.2170944,6.69E-05,0.000748981,1.186796147,0.01801804,1.124919055,0.016346809,1.72439231,5.85E-05
CG2263,597.0802421,6.70E-05,0.000749032,-0.241732076,0.546320859,0.455303482,0.114927366,-0.475745632,0.109073847
GluRIIA,548.9915049,6.72E-05,0.000750558,1.005530189,0.000427528,0.770235918,0.006913195,0.824098436,0.003353433
CG17059,334.8380019,6.74E-05,0.000751722,0.527012469,0.064399205,0.094816407,0.802772221,-0.401765952,0.164852444
CG15201,7045.817492,6.75E-05,0.000752225,0.453161276,0.162662564,0.057935355,0.897741802,-0.532179114,0.061600519
Gbeta5,565.636921,6.76E-05,0.000753019,-0.756995482,0.007525536,-0.871947073,0.000802764,-0.374581061,0.230851065
CG14512,87.09226704,6.78E-05,0.000753268,0.467252258,0.327235662,-0.258061792,0.602335988,-0.943225299,0.01736856
l(1)G0136,597.6468675,6.78E-05,0.000753268,-0.2419325,0.475408796,-0.545356296,0.024450047,-0.823743748,0.00027219
SPoCk,5091.751044,6.80E-05,0.000754649,-0.404103346,0.076791011,-0.571541949,0.003446956,0.026447504,0.938903593
HP1c,331.6446786,6.81E-05,0.000754783,-0.353848138,0.244950657,-0.255307179,0.380705518,-0.893207786,9.98E-05
mRpL51,247.2613384,6.83E-05,0.000756371,-0.602398053,0.119564258,-0.442787424,0.232600671,-1.210722351,9.30E-05
CG1545,1074.589671,6.84E-05,0.000757354,0.005978055,0.992077134,-0.268587189,0.450632775,-0.943976942,0.000543134
ImpL3,597.2020023,6.85E-05,0.000757354,0.826273475,0.260832944,2.034098378,0.000198367,1.54657585,0.006804684
Diedel,41.76903179,6.87E-05,0.000757554,5.005202878,7.64E-05,4.695164583,0.000139424,3.305966152,0.012674709
Su(var)2-HP2,1509.503986,6.87E-05,0.000757554,0.008588058,0.979936512,-0.171246677,0.418694938,0.422158455,0.014817066
CG2310,181.1995296,6.88E-05,0.000758378,0.891309105,0.004182066,0.995639201,0.000508098,0.876388354,0.002895042
CG6272,365.4152886,6.91E-05,0.000760588,1.014158136,0.001552952,0.690790896,0.033119694,1.051105444,0.000434137
CG32647,3824.722015,6.94E-05,0.000763459,0.670198584,0.001468652,0.065592709,0.84193788,0.300561563,0.207489758
Plc21C,4099.998931,6.96E-05,0.000764618,-0.384388363,0.163096634,-0.436354811,0.068713515,0.273986371,0.314235002
CG3476,250.3783171,7.02E-05,0.000770215,0.953589688,0.006600192,0.97516071,0.002885546,1.156646904,0.000235275
CG12848,227.1744026,7.02E-05,0.000770346,-0.44780802,0.102021627,-0.274762788,0.313387922,-0.856359502,0.000134092
heph,5911.381218,7.06E-05,0.000773363,-0.128099385,0.82017189,-0.468755954,0.18590987,0.632829231,0.058503367
TRAM,1242.218207,7.08E-05,0.000775,-0.453396617,0.411279702,0.782848979,0.062119524,-0.417063628,0.405370313
RhoGAP18B,2384.222503,7.13E-05,0.00077978,0.495815199,0.004068024,0.485166984,0.002978082,0.536883101,0.000733929
Sec23,2553.439307,7.15E-05,0.000780563,-0.221512056,0.346804589,0.406328124,0.023706186,0.052677459,0.852055278
Opa1,1819.997653,7.17E-05,0.000782673,-0.453843586,0.001461772,-0.403281724,0.00335214,-0.309767498,0.033338734
CG3740,126.8799042,7.18E-05,0.000782778,-0.015667483,0.984726386,0.67840973,0.098045865,1.15773111,0.001703547
Nca,1306.657978,7.19E-05,0.000782778,-0.077116995,0.837816506,-0.682804456,0.000688628,-0.398162691,0.07522963
ND42,1693.488403,7.23E-05,0.000786067,-0.612874411,0.003479664,-0.327387185,0.139839267,-0.631955102,0.001232436
drl,514.8663899,7.28E-05,0.000791278,-1.000521271,0.001241671,-0.825503456,0.006175638,-0.424154725,0.228607212
aPKC,3367.113002,7.41E-05,0.000804676,-0.461632925,0.110003099,-0.678788199,0.005100728,0.083641489,0.827199216
beat-Ib,541.8416973,7.45E-05,0.000807864,-0.38887514,0.18594822,-0.82195142,0.000370221,-0.111624676,0.753812208
